Date,explanation,lie,url
2017-02-28,NATO countries agreed to meet defense spending requirements in 2014.,"And now, based on our very strong and frank discussions, they are beginning to do just that.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-28,There's no evidence that the Waters of the United States rule caused severe job losses.,The E.P.A.’s regulators were putting people out of jobs by the hundreds of thousands.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-28,They can't lobby their former agency but can still become lobbyists.,We have begun to drain the swamp of government corruption by imposing a five-year ban on lobbying by executive branch officials.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-03,Paperwork for the last two candidates was still not submitted to the Senate.,It is so pathetic that the Dems have still not approved my full Cabinet.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-04,There's no evidence of a wiretap.,Terrible! Just found out that Obama had my ‘wires tapped’ in Trump Tower just before the victory. Nothing found. This is McCarthyism!,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-04,There's no evidence of a wiretap.,How low has President Obama gone to tap my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-07,113 of them were released by President George W. Bush.,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-13,Much of the cost cuts were planned before Trump.,"I saved a lot of money on those jets, didn't I? Did I do a good job? More than $725 million on them.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-13,About 20 million people gained insurance under Obamacare.,"First of all, it covers very few people.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-15,Much of the cost cuts were planned before Trump.,"On the airplanes, I saved $725 million. Probably took me a half an hour if you added up all of the times.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
